18,24;Private;Never-married;Other-service;White;Female;United-Kingdom;<=50K
18,24;Private;Never-married;Other-service;White;Female;United-Kingdom;<=50K
18,24;Private;Never-married;Other-service;White;Female;United-Kingdom;<=50K
36,57;*;Married-civ-spouse;*;Black;Male;Jamaica;>50K
36,57;*;Married-civ-spouse;*;Black;Male;Jamaica;<=50K
36,57;*;Married-civ-spouse;*;Black;Male;Jamaica;>50K
17,18;Private;Never-married;Sales;White;Female;United-States;<=50K
17,18;Private;Never-married;Sales;White;Female;United-States;<=50K
17,18;Private;Never-married;Sales;White;Female;United-States;<=50K
40,60;*;Married-civ-spouse;Craft-repair;Asian;Male;*;>50K
40,60;*;Married-civ-spouse;Craft-repair;Asian;Male;*;>50K
40,60;*;Married-civ-spouse;Craft-repair;Asian;Male;*;<=50K
51,78;Private;Widowed;Other-service;Black;Female;United-States;<=50K
51,78;Private;Widowed;Other-service;Black;Female;United-States;<=50K
51,78;Private;Widowed;Other-service;Black;Female;United-States;<=50K
17,22;State-gov;Never-married;Sales;White;Male;*;<=50K
17,22;State-gov;Never-married;Sales;White;Male;*;<=50K
17,22;State-gov;Never-married;Sales;White;Male;*;<=50K
45,65;Private;Widowed;*;Black;Female;United-States;<=50K
45,65;Private;Widowed;*;Black;Female;United-States;<=50K
45,65;Private;Widowed;*;Black;Female;United-States;<=50K
19,25;Without-pay;Never-married;*;White;Male;*;<=50K
19,25;Without-pay;Never-married;*;White;Male;*;<=50K
19,25;Without-pay;Never-married;*;White;Male;*;<=50K
30,60;*;Divorced;Sales;*;Female;*;<=50K
30,60;*;Divorced;Sales;*;Female;*;<=50K
30,60;*;Divorced;Sales;*;Female;*;<=50K
17,44;Private;Never-married;Farming-fishing;White;Male;United-States;<=50K
17,44;Private;Never-married;Farming-fishing;White;Male;United-States;<=50K
17,44;Private;Never-married;Farming-fishing;White;Male;United-States;<=50K
30,55;*;Married-civ-spouse;Sales;Asian;Female;*;<=50K
30,55;*;Married-civ-spouse;Sales;Asian;Female;*;<=50K
30,55;*;Married-civ-spouse;Sales;Asian;Female;*;<=50K
22,90;Private;Never-married;Other-service;Black;Male;United-States;<=50K
22,90;Private;Never-married;Other-service;Black;Male;United-States;<=50K
22,90;Private;Never-married;Other-service;Black;Male;United-States;<=50K
20,70;Local-gov;alone;Sales;*;Female;*;<=50K
20,70;Local-gov;alone;Sales;*;Female;*;<=50K
20,70;Local-gov;alone;Sales;*;Female;*;<=50K
52,81;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;White;Male;United-States;<=50K
52,81;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;White;Male;United-States;<=50K
52,81;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;White;Male;United-States;>50K
28,33;*;Never-married;*;Asian;Female;*;<=50K
28,33;*;Never-married;*;Asian;Female;*;<=50K
28,33;*;Never-married;*;Asian;Female;*;<=50K
29,79;*;Married-civ-spouse;Prof-specialty;White;Male;United-Kingdom;<=50K
29,79;*;Married-civ-spouse;Prof-specialty;White;Male;United-Kingdom;<=50K
29,79;*;Married-civ-spouse;Prof-specialty;White;Male;United-Kingdom;>50K
19,27;*;Never-married;Tech-support;*;Female;United-States;<=50K
19,27;*;Never-married;Tech-support;*;Female;United-States;<=50K
19,27;*;Never-married;Tech-support;*;Female;United-States;<=50K
50,65;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;White;Male;*;>50K
50,65;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;White;Male;*;<=50K
