20,30;*;*;Sales;Asian;Female;Thailand;<=50K
20,30;*;*;Sales;Asian;Female;Thailand;<=50K
24,90;Private;Never-married;Other-service;Black;Male;United-States;<=50K
24,90;Private;Never-married;Other-service;Black;Male;United-States;<=50K
31,36;Local-gov;Divorced;Adm-clerical;White;Female;*;<=50K
31,36;Local-gov;Divorced;Adm-clerical;White;Female;*;<=50K
63,67;Self-emp-inc;Married-civ-spouse;Exec-managerial;*;Male;United-States;>50K
63,67;Self-emp-inc;Married-civ-spouse;Exec-managerial;*;Male;United-States;>50K
37,47;gov;Divorced;Adm-clerical;White;Female;*;<=50K
37,47;gov;Divorced;Adm-clerical;White;Female;*;<=50K
18,19;Private;Never-married;Sales;Black;Male;*;<=50K
18,19;Private;Never-married;Sales;Black;Male;*;<=50K
67,68;*;Divorced;Other-service;White;Female;United-States;<=50K
67,68;*;Divorced;Other-service;White;Female;United-States;<=50K
20,23;Private;Never-married;Sales;Black;Male;*;<=50K
20,23;Private;Never-married;Sales;Black;Male;*;<=50K
62,66;Local-gov;Widowed;Prof-specialty;White;Female;United-States;<=50K
62,66;Local-gov;Widowed;Prof-specialty;White;Female;United-States;<=50K
19,22;Private;Never-married;Other-service;Black;Male;*;<=50K
19,22;Private;Never-married;Other-service;Black;Male;*;<=50K
57,70;gov;Widowed;Sales;White;Female;United-States;<=50K
57,70;gov;Widowed;Sales;White;Female;United-States;<=50K
27;Private;Never-married;Craft-repair;*;Male;*;<=50K
27;Private;Never-married;Craft-repair;*;Male;*;<=50K
30,60;State-gov;Divorced;Sales;*;Female;*;<=50K
30,60;State-gov;Divorced;Sales;*;Female;*;<=50K
17,33;Private;Never-married;Farming-fishing;White;Male;United-States;<=50K
17,33;Private;Never-married;Farming-fishing;White;Male;United-States;<=50K
39,55;gov;Married-civ-spouse;Sales;Asian;Female;*;<=50K
39,55;gov;Married-civ-spouse;Sales;Asian;Female;*;<=50K
54,70;Private;Never-married;Tech-support;White;Male;United-States;<=50K
54,70;Private;Never-married;Tech-support;White;Male;United-States;<=50K
22,29;State-gov;Married-civ-spouse;*;*;Male;United-Kingdom;<=50K
22,29;State-gov;Married-civ-spouse;*;*;Male;United-Kingdom;>50K
72,75;Private;Widowed;Adm-clerical;White;Female;*;<=50K
72,75;Private;Widowed;Adm-clerical;White;Female;*;<=50K
22,52;gov;Never-married;Sales;Black;Male;United-States;<=50K
22,52;gov;Never-married;Sales;Black;Male;United-States;<=50K
44,59;Private;Divorced;*;White;Female;United-Kingdom;<=50K
44,59;Private;Divorced;*;White;Female;United-Kingdom;<=50K
30,33;*;Married-civ-spouse;Prof-specialty;Asian;Male;India;>50K
30,33;*;Married-civ-spouse;Prof-specialty;Asian;Male;India;<=50K
56,78;Private;Widowed;Other-service;Black;Female;United-States;<=50K
56,78;Private;Widowed;Other-service;Black;Female;United-States;<=50K
17,19;State-gov;Never-married;Sales;White;Male;*;<=50K
17,19;State-gov;Never-married;Sales;White;Male;*;<=50K
57,65;Private;Widowed;Priv-house-serv;Black;Female;United-States;<=50K
57,65;Private;Widowed;Priv-house-serv;Black;Female;United-States;<=50K
19,20;Without-pay;Never-married;*;White;Male;*;<=50K
19,20;Without-pay;Never-married;*;White;Male;*;<=50K
53,59;Local-gov;Widowed;*;Black;Female;United-States;<=50K
53,59;Local-gov;Widowed;*;Black;Female;United-States;<=50K
19,29;Private;Never-married;Prof-specialty;White;Male;United-Kingdom;<=50K
19,29;Private;Never-married;Prof-specialty;White;Male;United-Kingdom;<=50K
48,54;Local-gov;Divorced;*;Black;Female;United-States;<=50K
48,54;Local-gov;Divorced;*;Black;Female;United-States;<=50K
17,19;Private;Never-married;Other-service;White;Male;Mexico;<=50K
17,19;Private;Never-married;Other-service;White;Male;Mexico;<=50K
47,49;Local-gov;Separated;*;Black;Female;United-States;<=50K
47,49;Local-gov;Separated;*;Black;Female;United-States;<=50K
53,79;non-gov;Married-civ-spouse;Prof-specialty;White;Male;United-Kingdom;<=50K
53,79;non-gov;Married-civ-spouse;Prof-specialty;White;Male;United-Kingdom;<=50K
19,27;*;Never-married;Tech-support;Black;Female;United-States;<=50K
19,27;*;Never-married;Tech-support;Black;Female;United-States;<=50K
65,73;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;White;Male;*;>50K
65,73;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;White;Male;*;<=50K
22,23;State-gov;Never-married;*;Black;Female;United-States;<=50K
22,23;State-gov;Never-married;*;Black;Female;United-States;<=50K
59;Private;Married-civ-spouse;Sales;White;Male;*;<=50K
